Product Name,Price,transmission,fuel,engine_capacity
Hyundai Grand Starex GL,PKR 39.99 lacs,Manual,Petrol,2400cc
Honda Civic 1.5 VTEC Turbo Oriel,PKR 42.49 lacs,Automatic(CVT),Petrol,1498cc
Isuzu D-Max Hi Lander 4x4 Single Cab Standard,PKR 43 lacs,Manual,Diesel,2499cc
Honda Civic 1.5 RS Turbo,PKR 44.79 lacs,Automatic(CVT),Petrol,1498cc
Isuzu D-Max Hi Lander 4x4 Double Cab Standard,PKR 45 lacs,Manual,Diesel,2499cc
Honda HR-V CVT,PKR 47.99 lacs,Automatic(CVT),Petrol,1497cc
Toyota Hilux 4x4 Single Cab Standard 2.8,PKR 48.49 lacs,Manual,Diesel,2755cc
KIA Grand Carnival LX,PKR 48.99 lacs,Automatic,Petrol,3342cc
KIA Sportage FWD,PKR 48.99 lacs,Automatic,Petrol,1999cc
Hyundai Grand Starex GLS,PKR 49.99 lacs,Automatic,Petrol,2400cc
Isuzu D-Max V-Cross 3.0,PKR 50 lacs,Manual,Diesel,2999cc
JMC Vigus 4x4 Double Cab,PKR 50.15 lacs,Manual,Diesel,2400cc
Toyota Rush G M/T,PKR 50.4 lacs,Manual,Petrol,1496cc
Hyundai Grand Starex GLX,PKR 51.99 lacs,Automatic,Petrol,2400cc
Toyota Rush G A/T,PKR 52.2 lacs,Automatic,Petrol,1496cc
Toyota Hilux E 2.8,PKR 52.49 lacs,Manual,Diesel,2982cc
KIA Sportage AWD,PKR 53.99 lacs,Automatic,Petrol,1999cc
Isuzu D-Max V-Cross Automatic 3.0,PKR 54 lacs,Automatic,Diesel,2999cc
Suzuki Vitara GLX 1.6,PKR 55 lacs,Automatic,Petrol,1586cc
Toyota Hilux Revo G 2.8,PKR 55.99 lacs,Manual,Diesel,2755cc
Toyota Hilux Revo G Automatic 2.8,PKR 58.99 lacs,Automatic,Diesel,2755cc
Audi A3 1.2 TFSI Standard,PKR 60 lacs,Automatic,Petrol,1197cc
Toyota Hilux Revo V Automatic 2.8,PKR 62.49 lacs,Automatic,Diesel,2755cc
Hyundai Ioniq GLS,PKR 63.99 lacs,Automatic,Hybrid,1580cc
Toyota Hiace Standard Roof,PKR 64.8 lacs,Manual,Diesel,2755cc
KIA Grand Carnival EX,PKR 64.99 lacs,Automatic,Petrol,3342cc
Audi Q2 1.0 TFSI Standard Line,PKR 72.5 lacs,Automatic,Petrol,999cc
Toyota Hiace High Roof Commuter,PKR 72.9 lacs,Manual,Diesel,2755cc
Toyota Fortuner 2.7 G,PKR 72.99 lacs,Automatic,Petrol,2694cc
Toyota Fortuner 2.7 VVTi,PKR 79.99 lacs,Automatic,Petrol,2694cc
Toyota Hiace High Roof Tourer,PKR 80.9 lacs,Automatic,Diesel,2755cc
